Term. Pq. D. Pedro Ii,55
Term. Sto. Amaro,50
Metrô Santana,47
Metrô Itaquera,46
Sto. Amaro,34
Lapa,34
Term. Capelinha,31
Term. Varginha,28
Term. Campo Limpo,28
Metrô Barra Funda,27
Term. Pinheiros,27
Term. Pirituba,26
Term. Grajaú,23
Term. Lapa,22
Term. Cachoeirinha,22
Metrô Tatuapé,20
Pça. Do Correio,20
Pça. Ramos De Azevedo,19
Metrô Tucuruvi,18
Term. Bandeira,17
Term. Sacomã,17
Cptm Guaianazes,17
Term. São Mateus,17
Metrô Belém,16
Shop. Aricanduva,15
Metrô Artur Alvim,15
Term. Vl. Carrão,14
Term. Princ. Isabel,14
Jd. âNgela,13
Metrô Penha,13
Term. João Dias,13
Metrô Jabaquara,13
Term. A. E. Carvalho,12
São Mateus,12
Lgo. São Francisco,11
Term. Parelheiros,11
Metrô Ana Rosa,11
Metrô Carrão,11
Metrô Conceição,11
Metrô Vl. Mariana,10
Pinheiros,10
Term. Vl. Sônia,10
São Miguel,9
Term. Sapopemba,9
Jd. Miriam,9
Pça. Da Sé,9
Valo Velho,8
Cid. Universitária,8
Metrô Sta. Cruz,8
Circular,8
Jd. Selma,8
Pq. Edu Chaves,8
Term. Guarapiranga,8
Shop. Center Norte,8
Perus,8
Guaianazes,7
Itaim Bibi,7
Pq. Ibirapuera,6
Term. Cid. Tiradentes,6
Shop. Interlagos,6
E.t. Itaquera,6
Term. áGua Espraiada,6
Cptm Itaim Paulista,6
Metrô São Judas,6
Conexão Vl. Iório,5
Term. Mercado,5
Term. Jd. âNgela,5
Jabaquara,5
Rio Pequeno,5
Hosp. Das Clínicas,5
Term. Penha,5
Metrô Vl. Matilde,5
Vl. Industrial,5
Cptm José Bonifácio,5
Jd. Fontális,5
Lgo. Do Paissandú,5
Cid. Tiradentes,5
Metrô Guilhermina/esperança,5
Shop. Morumbi,5
Jd. Pery Alto,5
Jd. Macedônia,5
Metrô Bresser,5
Term. Vl. Prudente,5
Penha,5
Conexão Petrônio Portela,5
Jd. Das Rosas,5
Pq. Res. Cocaia,5
Metrô Saúde,5
Jd. Apurá,5
Jd. Luso,4
Pça. João Mendes,4
Term. Aricanduva,4
Eldorado,4
Paraisópolis,4
Jd. Helena,4
Vl. Olímpia,4
Ipiranga,4
Vl. Liviero,4
Pça. Da República,4
Jd. Guarujá,4
Jd. Ingá,4
Vl. Califórnia,4
Metrô Morumbi,4
Barro Branco,4
Metrô Butantã,4
Jd. São Francisco,4
Itaim Paulista,4
Term. Vl Prudente,4
Jd. Paulistano,4
Metrô Tamanduateí,4
Term. São Miguel,4
Jd. Das Oliveiras,4
Term. Casa Verde,4
Vl. Sabrina,4
Cohab Brasilândia,4
Jd. Mitsutani,4
Shop. D,4
Ermelino Matarazzo,3
Cangaíba,3
Jd. Castro Alves,3
Pedra Branca,3
Cem. Pq. Dos Pinheiros,3
Butantã,3
Morro Grande,3
Pq. Continental,3
Jaçanã,3
Inácio Monteiro,3
Jd. Imperador,3
Cid. D'abril 3ª Gleba,3
Jova Rural,3
Jd. Guairacá,3
Cohab Raposo Tavares,3
Cohab Antártica,3
Term. Jd. Jacira,3
Vl. Gilda,3
Bom Retiro,3
Hosp. São Mateus,3
Pça. Almeida Jr.,3
Pq. Sta. Madalena,3
Jd. João Xxiii,3
Jd. Nakamura,3
Vl. Piauí,3
Luz,3
Term. Amaral Gurgel,3
Lauzane Paulista,3
Metalúrgicos,3
Metrô Vl. Madalena,3
Metrô Patriarca,3
Mooca,3
Jd. Sto. André,3
Jd. Itápolis,3
Cptm Jurubatuba,3
Socorro,3
Aclimação,3
Jd. Ibirapuera,3
Jaraguá,3
Moema,3
Cachoeira,3
Cohab Taipas,3
Jd. Vista Alegre,3
Pq. D. Pedro Ii,3
Cid. Kemel Ii,3
Jd. Nazaré,3
Jd. Robru,3
Vl. Arapuá,3
Cachoeirinha,3
Inocoop Campo Limpo,3
Sacomã,3
Vl. Guacuri,3
Pq. Novo Mundo,3
Cptm Autódromo,3
Chác. Santana,3
Vargem Grande,2
Jd. São João ,2
Jd. Celeste,2
Missionária,2
Anhangabaú,2
Jd. Jangadeiro,2
Campo Limpo,2
Parelheiros,2
Jd. Marília,2
Jd. Lucélia,2
Jd. Eliana,2
Jd. Maria Sampaio,2
Jd. Jaqueline,2
Jd. São Paulo,2
Jd. Icaraí,2
Jd. Boa Vista,2
Jd. Capelinha,2
Vl. Dalila,2
Jd. Noronha,2
Jd. Planalto,2
Jd. Nsa. Sra. Do Carmo,2
Vl. Yolanda,2
Jd. Iv Centenário,2
Jd. Clímax,2
Jd. São Savério,2
Shop. Portal,2
Vl. São José,2
Paulista,2
Cohab Fazenda Do Carmo,2
Metrô Vergueiro,2
Jd. Rodolfo Pirani,2
Aeroporto,2
Jd. Sta. Terezinha,2
Term. Jd. Britania,2
Jd. D. José,2
Jd. Itajaí,2
Est. Sto. Amaro/guido Caloi,2
Cantinho Do Céu,2
Pq. Do Lago,2
Pq. Primavera,2
Capão Redondo,2
Grajaú,2
Jd. Lídia,2
Shop. Metrô Tatuapé,2
Shop. Sp Market,2
Cohab Juscelino,2
Jd. Limoeiro,2
Metrô Pça. Da áRvore,2
Vl. Mara,2
Brasilândia,2
Metrô Jd. São Paulo,2
Jd. Nsa. Sra. Do Caminho,2
Shop. Penha,2
Conj. Encosta Norte,2
Lgo. Da Concórdia,2
Liberdade,2
Burgo Paulista,2
Jd. Guarani,2
Jd. Danfer,2
Vl. Progresso,2
Jd. Belém,2
Pq. São Lucas,2
City Jaraguá,2
União De Vl. Nova,2
Cohab Ii,2
Jd. Camargo Velho,2
Jd. Primavera,2
Jd. Fanganielo,2
Vl. União,2
Vl. Sílvia,2
Ceasa,2
Jd. Elisa Maria,2
Vl. Albertina,2
Mandaqui,2
Sol Nascente,2
Jd. Carombé,2
Vl. Iara,2
Jd. São João,2
Vl. Terezinha,2
Jd. Damasceno,2
Metrô Carandiru,2
Vl. Mirante,2
Vl. Zatt,2
Jd. Brasil,2
Vl. Constança,2
Center Norte,2
Cptm Jaraguá,2
Jd. Antártica,2
Pq. De Taipas,2
Museu Do Ipiranga,2
Vl. Penteado,2
Ana Rosa,2
Jd. Filhos Da Terra,2
Pq. Morro Doce,2
Jd. São Bernardo,2
Cptm Vl. Aurora,2
Hosp. Campo Limpo,2
Hosp. Sapopemba,2
Cem. De Perus,2
Jd. Paulo Vi,2
Jd. Romano,2
Hab. Turística,2
Jd. São Carlos,2
Pq. Bancário,2
Sta. Mônica,2
Jd. Guaraú,2
Jd. D'abril,2
Jd. Mabel,2
Cptm Vl. Mara/itaim,2
Jd. Caiçara,1
Shop. Continental,1
Metrô Sta. Cecília,1
Pq. Do Engenho,1
Chác. Sto. Amaro,1
Vl. Da Paz,1
Jd. Orion,1
Jd. São Nicolau,1
Baln. São José,1
Jd. Gaivotas,1
Jd. Rec. Campo Belo,1
Jd. Progresso,1
Jd. Helga,1
Jd. Bonfiglioli,1
Metrô - Trianon - Masp ,1
Jd. Arpoador,1
Jd. Maracá,1
Jd. Rosana,1
Sítio Dos Francos,1
Horto Do Ypê,1
Jd. Satélite Ii,1
Perdizes,1
Metrô Paraíso,1
Jd. Princesa,1
Pq. Do Povo,1
Vl. Anastácio,1
Jd. Novo Marilda,1
Pq. Florestal   ,1
Cdhu Butantã,1
Jd. Líbano,1
Capela Da Lagoa,1
Jd. Tereza,1
Ceu Capão Redondo,1
Jd. Três Estrelas,1
Jd. Monte Azul,1
Jd. Nardini,1
Campo Belo,1
Cohab Jd. São Bento,1
Imirim,1
Jd. Almanara,1
Jd. Taboão,1
Cdhu Voith,1
Vl. Sta. Maria,1
Vl. Brasilândia,1
Jd. Dos Francos,1
Capela Da Lagoa ,1
Jd. São Bento Novo,1
Metrô Vl. Das Belezas,1
Jd. Universal,1
Jd. Varginha,1
Itaberaba,1
Lgo. Da Pólvora,1
Jd. Peri Peri,1
Unisa-campus 1,1
Jd. Marilda,1
Vl. Natal,1
Pq. Tietê,1
Pq. Sta. Cecília,1
Jd. Ellus,1
Jd. Almeida Prado,1
Jd. Sete De Setembro,1
Jd. Maria Luiza,1
Pq. Cocaia,1
Mangalot,1
Jd. Das Pedras,1
Jd. Chác. Do Sol,1
Aacd-servidor,1
Jd. Comercial,1
Jd. Capela,1
Jd. Novo Oriente,1
Pq. Ipê,1
Cptm Grajaú,1
Cohab Educandário,1
Vl. Dalva,1
Jd. Vale Das Virtudes,1
Centro Sesc,1
Pq. Sto. Antonio,1
Metrô Vila Madalena,1
Jd. Gaivotas   ,1
Cohab Adventista,1
Ilha Do Bororé,1
Jd. São Bento,1
Pq. Fernanda,1
Morro Doce,1
Cipó Do Meio,1
Jd. Sta. Fé,1
Barragem,1
Jd. Oriental,1
Jd. Das Fontes,1
Jd. Oriental/fontes,1
Jd. Rosa Maria,1
Cdhu Munck,1
Vl. Clarice,1
Jd. Eucaliptos,1
Marsilac,1
Term. Morumbi,1
Messiânica,1
Jd. Herplin,1
Jd. Sta. Barbara,1
Jd. Vaz De Lima,1
Vl. Cruzeiro,1
Brooklin Novo,1
Taipas,1
Freguesia Do Ó,1
Penteado,1
Pq. Arariba,1
Remédios,1
Jd. Prainha,1
Jd. Dos Cunhas,1
Pq. Res. Dos Lagos,1
Metrô - Trianon - Masp,1
Conj. Hab. Palmares,1
Paraíso,1
Cid. D'abril ,1
Pq. Da Lapa,1
Divisa De Embu-guaçu,1
Hosp. Parelheiros,1
Pinheiros/vila Ida ,1
Jd. Donária,1
Recanto Dos Humildes,1
Jd. Sta. Margarida,1
Jd. Paineiras,1
Jd. Horizonte Azul,1
Metrô Capão Redondo,1
Jaguaré,1
Sesc Pompéia,1
Jd. Vera Cruz,1
Cptm Perus,1
Jd. Aracati,1
Pq. América,1
Metrô Capão Redondo ,1
Jd. Rincão,1
Pirituba,1
Cem. Vl. Nova Cachoeirinha,1
Pq. Figueira Grande,1
Jd. Monte Belo,1
Riviera,1
Vl. Americana,1
Vl. Cisper,1
Parada Xv De Novembro,1
Pq. D. João Nery,1
Jd. Keralux,1
Jd. Campos,1
Pq. Guarani,1
Vl. Regina,1
Vl. Jacui,1
Jd. Do Castelo,1
Conj. A. E. Carvalho,1
Limoeiro,1
Conj. Araucária,1
Jd. Verônia,1
Jd. Veronia,1
Metrô Belém     ,1
Pq. Vl. Maria,1
Chác. Cruz. Do Sul,1
Vl. Rui Barbosa,1
Chác. Bela Vista,1
Shop. Metrô Itaquera,1
Ponte Rasa,1
Jd. Lajeado,1
Chabilândia,1
Cid. Pedro José Nunes,1
Jd. Camargo Novo,1
Penha  ,1
Jd. Da Conquista,1
Cohab José Bonifácio,1
Nova America,1
Vl. Cosmopolita,1
Hosp. Ipiranga,1
Vl. Santana,1
Conj. Chaparral,1
Jd. Colorado,1
Vl. Ema,1
Jd. Vl. Formosa,1
São Miguel Paulista,1
Jd. Recanto Verde Sol,1
Vl. Santa Maria,1
Sta. Etelvina Ii B6,1
Jd. Palanque,1
Vl. Guarani,1
Jd. Alto Paulistano,1
Vl. Iolanda Ii,1
Jd. Wilma Flor,1
Pq. São Rafael,1
Cohab José Bonifácio ,1
Vl. Paulista I,1
Cem. Da Saudade,1
Jd. Etelvina,1
Oliveirinha,1
Jd. Grauna,1
Conj. José Bonifácio,1
Jd. Corisco,1
Jd. Pery,1
Metrô Santana ,1
Vl.nova Cachoeirinha,1
Vl. Dionisia,1
Vl. Zilda,1
Jd. Tremembé,1
Tatuapé,1
Jd. Marina,1
Jd. Guancã,1
Cantareira,1
Jd. Joana D'arc,1
Cem. Pq. Da Cantareira,1
Tietê,1
Vl. Iório,1
Correio,1
Vl. Sulina,1
Cptm Pirituba,1
Conexão Vl. Iório ,1
Vl. Rosa,1
Cem. Do Horto,1
Chác. Maria Trindade,1
Term. Jd. Britânia,1
Jd. Cabuçu,1
Metrô Parada Inglesa,1
Jd. Hebron,1
Vl. Ayrosa,1
Vl. Curuçá,1
Vl. Nova Curuçá,1
Jd. São Martinho,1
Jd. Sto. Antônio,1
Vl. São Francisco,1
Jd. Coimbra,1
Ceret,1
Div. De Ferraz,1
Vl. Medeiros,1
Cid. Kemel,1
Vl. Nova Galvão,1
Vl. Aurora,1
Santana,1
Jd. Labitary,1
Jd. Bandeirantes,1
Pq. Paineiras,1
Shop.d,1
Cid. Kemel I,1
Conj. Dos Bancários,1
Vl. Amélia,1
Jd. Campo Limpo,1
Vl. Marieta,1
Vl. Aricanduva,1
Pq. Savoy City,1
Pq. Nova Savoy,1
Univ. São Judas Tadeu,1
Div. Diadema,1
Vl. Império,1
Mascarenhas De Morais,1
Baln. São Francisco,1
Pça. D. Gastão,1
Pq. Belém,1
Cid. Ademar,1
Hosp. São Paulo,1
Instituto Lucy Montoro,1
Pq. Bristol,1
Vl. Brasilina,1
Vl. Cde. Do Pinhal,1
Jd. Maria Estela,1
Vl. Joaniza,1
Jd. Patente,1
Metrô Alto Do Ipiranga,1
Jd. São Roberto,1
Vl. Sta. Margarida,1
Água Funda,1
Hosp. Heliópolis,1
Jd. São Jorge,1
Vl. Romana,1
Heliópolis,1
Sesc/orion,1
Vicente Rao,1
Metrô Brás,1
Vl. Clara,1
Jd. Nova Era,1
Jd. Alfredo,1
Jd. Porto Velho,1
Vl. Calú,1
Pq. Independência,1
Chác. Sta. Maria,1
Jd. Copacabana,1
Jd. Herculano,1
Est. Mendes/vl. Natal,1
Hosp. Pedreira,1
Vl Matias,1
Cid. Dutra,1
Div. São Caetano,1
Pedreira,1
Cid. Júlia,1
Vl. Missionária,1
Jd. Walkiria,1
Div. De São Caetano,1
Americanópolis,1
Lgo. Cambuci,1
Vl. Alpina,1
Refúgio Sta. Terezinha,1
Lar Esc. São Francisco,1
Jd. Elba,1
Ibirapuera,1
Jd. Iva,1
Jd. Novo Horizonte,1
Jd. Vl. Carrão,1
Jd. Iguatemi,1
Jd. Cibele,1
Itaquera,1
Jd. Vl. Nova,1
Cptm Jd. Romano,1
Gleba Do Pessego,1
Cohab Barro Branco,1
Res. Sta. Bárbara,1
3a. Divisão,1
Morro Do Cruzeiro,1
Metrô Itaquera ,1
Cohab Prestes Maia,1
Jd. Santana,1
Cptm Ermelino Matarazzo,1
Jd. Laranjeira,1
Cptm D. Bosco,1
Recanto Verde Sol,1
Jd. São José,1
Cid. Lider,1
Vl. Sta. Isabel,1
Vl. Chuca,1
Div. De Mauá,1
Jd. Da Saúde,1
Machado De Assis,1
Vl. Moraes,1
Shop. Ibirapuera,1
Vl. Nhocuné,1
Shop. Plaza Sul,1
Jd. Maria Estela Ii,1
Zoológico,1
Jd. Ester,1
Term. Norte Metrô Carrão,1
Vl. Gumercindo,1
Setor Iib,1
Cardoso De Almeida,1
Fazenda Da Juta,1
Metrô Vl. Prudente,1
Jd. Redil,1
Jd. Soares,1
Conj. Manoel Da Nóbrega,1
Jd. Nova Vitória,1
Pq. Boa Esperança,1
Vl. Solange,1
Nova Conquista,1
Vl. Das Mercês,1
Objetivo Unip,1
Voith,1
